,Unnamed: 0,brand,guaranteed_authentic_brand,model_variant,core_model,price,negotiable_price,bezel_material,bezel_plated,case_material,case_plated,dial
196,314,tudor,False,Standard,Black Bay Pro,3795.0,False,steel,False,steel,False,black
197,316,tudor,False,Standard,Black Bay 41,4499.0,False,steel,False,steel,False,black
199,318,tudor,False,Standard,Black Bay Dark,3299.0,True,steel,False,steel,False,black
200,319,tudor,False,Standard,Black Bay Chrono,4995.0,True,steel,False,steel,False,black
201,320,tudor,False,Standard,Unknown/Other,3797.0,False,bronze,False,bronze,False,grey
204,326,tudor,False,Standard,Black Bay 32,2700.0,False,steel,False,steel,False,blue
205,327,tudor,False,Standard,Submariner,18500.0,True,steel,False,steel,False,blue
206,329,tudor,False,Standard,Black Bay Chrono,4795.0,True,steel,False,steel,False,white
207,330,tudor,False,Standard,Black Bay 32,15000.0,True,steel,False,steel,False,blue
208,332,tudor,False,Standard,Submariner,7000.0,True,steel,False,steel,False,black
209,336,tudor,False,Standard,Black Bay S&G,5200.0,False,yellow gold,False,gold/steel,False,black
211,338,tudor,False,Standard,Unknown/Other,2950.0,False,rose gold,False,steel,False,black
216,344,tudor,False,Standard,Black Bay Fifty-Eight,3099.0,False,aluminum,False,steel,False,blue
217,345,tudor,False,Standard,Black Bay 54,5399.0,False,steel,False,steel,False,blue
219,347,tudor,False,Standard,Royal,2469.0,False,yellow gold,False,steel,False,pink
220,348,tudor,False,Standard,Black Bay Pro,3190.0,False,steel,False,steel,False,black
221,349,tudor,False,Standard,Unknown/Other,2990.0,False,steel,False,steel,False,black
222,350,tudor,True,Standard,Oysterdate Big Block,5713.0,False,steel,False,steel,False,white
223,351,tudor,False,Standard,Black Bay Chrono,4688.0,True,steel,False,steel,False,white
224,353,tudor,False,Standard,Pelagos,3149.0,False,titanium,False,carbon,False,blue
225,354,tudor,False,Standard,1926,2195.0,False,steel,False,steel,False,white
227,356,tudor,False,Standard,Black Bay Chrono,4100.0,False,steel,False,steel,False,black
229,359,tudor,False,Standard,Unknown/Other,3100.0,False,steel,False,steel,False,black
231,361,tudor,False,Standard,Black Bay Fifty-Eight,3799.0,True,aluminum,False,steel,False,blue
232,362,tudor,False,Standard,Pelagos,3699.0,True,titanium,False,carbon,False,blue
234,365,tudor,False,Standard,Black Bay Steel,4595.0,False,steel,False,steel,False,black
236,367,tudor,False,Standard,Pelagos,4780.0,True,titanium,False,titanium,False,black
237,368,tudor,False,Standard,Black Bay S&G,5272.0,True,yellow gold,False,steel,False,black
238,369,tudor,False,Standard,Pelagos,4435.0,False,titanium,False,titanium,False,black
239,371,tudor,False,Standard,Ranger,5114.0,False,steel,False,steel,False,white
241,373,tudor,False,Standard,Unknown/Other,3880.0,False,steel,False,steel,False,grey
243,375,tudor,False,Standard,Pelagos,9569.0,False,carbon,False,carbon,False,black
245,377,tudor,False,Standard,Unknown/Other,3299.0,False,steel,False,steel,False,black
247,379,tudor,False,Standard,Pelagos,5250.0,True,titanium,False,titanium,False,black
248,381,tudor,False,Standard,Submariner,5495.0,True,steel,False,steel,False,black
251,384,tudor,False,Standard,Black Bay Chrono,10700.0,True,steel,False,steel,False,turquoise
254,387,tudor,False,Standard,Royal,3895.0,False,yellow gold,False,gold/steel,False,silver
255,389,tudor,False,Standard,Black Bay Pro,4550.0,True,steel,False,steel,False,white
256,390,tudor,False,Standard,Black Bay 41,3250.0,True,steel,False,steel,False,black
258,392,tudor,False,Standard,Unknown/Other,3290.0,True,aluminum,False,silver,False,grey
259,393,tudor,False,Standard,Classic,1999.0,True,steel,False,steel,False,grey
261,398,tudor,False,Standard,Pelagos,3995.0,True,titanium,False,carbon,False,blue
263,402,tudor,False,Standard,Black Bay GMT,2742.0,False,steel,False,steel,False,black
264,405,tudor,False,Standard,Pelagos,3190.0,False,titanium,False,carbon,False,blue
266,408,tudor,False,Standard,Unknown/Other,4700.0,False,steel,False,steel,False,black
267,409,tudor,False,Standard,Pelagos,4250.0,True,titanium,False,titanium,False,blue
268,410,tudor,False,Standard,Black Bay GMT,3999.0,False,steel,False,steel,False,white
269,411,tudor,False,Standard,Black Bay S&G,4795.0,False,yellow gold,False,steel,False,black
271,414,tudor,False,Standard,Pelagos,3995.0,False,titanium,False,titanium,False,blue
272,415,tudor,False,Standard,Pelagos,3698.0,False,titanium,False,titanium,False,blue
273,416,tudor,False,Standard,Black Bay Pro,4999.0,True,steel,False,steel,False,white
275,419,tudor,False,Standard,Ranger,4199.0,False,steel,False,steel,False,black
276,420,tudor,False,Standard,Black Bay Fifty-Eight,3599.0,True,steel,False,steel,False,black
277,422,tudor,False,Standard,Black Bay GMT,4750.0,True,steel,False,steel,False,black
278,425,tudor,False,Standard,Black Bay Fifty-Eight,3375.0,True,aluminum,False,steel,False,blue
280,427,tudor,False,Standard,Black Bay Chrono,4999.0,False,aluminum,False,steel,False,blue
281,428,tudor,False,Standard,Black Bay GMT,4549.0,False,steel,False,steel,False,black
282,429,tudor,False,Standard,Black Bay GMT,4395.0,False,steel,False,steel,False,black
283,431,tudor,False,Standard,Pelagos,3999.0,True,titanium,False,titanium,False,blue
284,432,tudor,False,Standard,Black Bay 54,5499.0,True,steel,False,steel,False,blue
285,433,tudor,False,Standard,Unknown/Other,3275.0,False,steel,False,steel,False,black
287,435,tudor,False,Standard,Unknown/Other,3350.0,True,bronze,False,bronze,False,grey
288,437,tudor,False,Standard,Pelagos,3549.0,False,titanium,False,titanium,False,blue
289,438,tudor,False,Standard,Black Bay Pro,3500.0,True,steel,False,steel,False,black
290,439,tudor,False,Standard,Unknown/Other,4850.0,False,steel,False,steel,False,red
291,440,tudor,False,Standard,Oysterdate Big Block,6000.0,True,steel,False,steel,False,black
292,441,tudor,True,Standard,Pelagos,4153.0,False,titanium,False,titanium,False,black
293,443,tudor,False,Standard,Unknown/Other,3875.0,True,ceramic,False,ceramic,False,black
294,444,tudor,False,Standard,Black Bay Chrono,5975.0,False,aluminum,False,steel,False,blue
295,445,tudor,False,Standard,Pelagos,4600.0,False,titanium,False,titanium,False,black
296,446,tudor,False,Standard,Pelagos Ultra,5799.0,False,titanium,False,titanium,False,black
297,447,tudor,False,Standard,Black Bay Chrono,9200.0,False,steel,False,steel,False,pink
302,453,tudor,False,Standard,Pelagos,4875.0,False,titanium,False,titanium,False,black
303,455,tudor,False,Standard,Unknown/Other,4085.0,True,steel,False,steel,False,champagne
304,456,tudor,False,Standard,1926,3000.0,True,steel,False,gold/steel,False,black
305,457,tudor,False,Standard,Unknown/Other,4395.0,True,steel,False,steel,False,grey
306,458,tudor,False,Standard,Pelagos,8999.0,False,titanium,False,titanium,False,black
309,462,tudor,False,Standard,Black Bay GMT,4175.0,False,aluminum,False,steel,False,black
311,464,tudor,False,Standard,Unknown/Other,3899.0,True,steel,False,steel,False,black
314,472,tudor,False,Standard,Black Bay Chrono,4885.0,False,steel,False,steel,False,white
315,476,tudor,False,Standard,Black Bay Chrono,4190.0,True,steel,False,steel,False,black
317,479,tudor,False,Standard,Black Bay GMT,4400.0,False,steel,False,steel,False,black
318,480,tudor,False,Standard,Royal,4895.0,False,yellow gold,False,gold/steel,False,silver
319,481,tudor,False,Standard,Unknown/Other,3899.0,False,steel,False,steel,False,black
320,482,tudor,True,Standard,Tiger Prince Date,4153.0,False,steel,False,steel,False,black
321,483,tudor,False,Standard,Unknown/Other,3299.0,True,steel,False,steel,False,black
322,485,tudor,False,Standard,Black Bay Chrono,4799.0,True,steel,False,steel,False,white
323,486,tudor,False,Standard,Unknown/Other,4295.0,False,steel,False,ceramic,False,black
325,488,tudor,False,Standard,Black Bay Chrono,4299.0,False,steel,False,steel,False,black
327,491,tudor,False,Standard,Black Bay GMT,3799.0,False,steel,False,steel,False,white
328,492,tudor,True,Standard,Prince Oysterdate,2280.0,False,yellow gold,False,steel,False,silver
330,494,tudor,False,Standard,Pelagos,3390.0,True,titanium,False,carbon,False,blue
332,498,tudor,True,Standard,Black Bay GMT,4881.0,False,steel,False,steel,False,black
333,499,tudor,False,Standard,Black Bay GMT,4600.0,False,steel,False,steel,False,black
334,501,tudor,False,Standard,Black Bay Chrono,9480.0,False,steel,False,steel,False,pink
336,505,tudor,False,Standard,Black Bay Chrono,6300.0,False,aluminum,False,steel,False,blue
338,507,tudor,False,Standard,Black Bay GMT,3999.0,True,steel,False,steel,False,black
339,509,tudor,False,Standard,Pelagos,3790.0,False,titanium,False,titanium,False,blue
340,510,tudor,False,Standard,Royal,2699.0,False,steel,False,steel,False,blue
342,512,tudor,False,Standard,Black Bay Chrono,4699.0,True,steel,False,steel,False,black
343,513,tudor,False,Standard,Black Bay Chrono,4999.0,True,aluminum,False,steel,False,white
344,515,tudor,False,Standard,Black Bay Dark,3999.0,False,steel,False,steel,False,black
346,517,tudor,False,Standard,Black Bay Fifty-Eight,7999.0,True,steel,False,steel,False,blue
348,519,tudor,False,Standard,Black Bay GMT,4975.0,False,steel,False,steel,False,black
349,521,tudor,True,Standard,Pelagos,4360.0,False,titanium,False,titanium,False,black
350,522,tudor,True,Standard,Unknown/Other,3945.0,False,steel,False,steel,False,black
351,523,tudor,False,Standard,Black Bay Fifty-Eight,3999.0,False,steel,False,steel,False,black
352,524,tudor,False,Standard,Unknown/Other,4999.0,True,steel,False,steel,False,red
354,528,tudor,False,Standard,Black Bay Chrono,11375.0,False,steel,False,steel,False,turquoise
355,529,tudor,False,Standard,Black Bay Pro,3875.0,True,steel,False,steel,False,black
358,533,tudor,False,Standard,Black Bay GMT,4705.0,False,steel,False,steel,False,black
361,536,tudor,False,Standard,Black Bay GMT,4799.0,True,steel,False,steel,False,black
363,541,tudor,False,Standard,Black Bay Chrono,9810.0,False,steel,False,steel,False,pink
364,542,tudor,False,Standard,Black Bay Chrono,10600.0,False,steel,False,steel,False,turquoise
365,543,tudor,False,Standard,Pelagos,3599.0,False,titanium,False,titanium,False,blue
366,544,tudor,False,Standard,Ranger,3600.0,True,steel,False,steel,False,black
367,545,tudor,False,Standard,Pelagos,3895.0,True,titanium,False,titanium,False,blue
368,546,tudor,False,Standard,Black Bay GMT,4750.0,False,steel,False,steel,False,black
369,547,tudor,False,Standard,Ranger,3575.0,True,steel,False,steel,False,black
371,552,tudor,False,Standard,Black Bay Chrono,9250.0,True,steel,False,steel,False,pink
372,553,tudor,False,Standard,Black Bay 41,4195.0,False,steel,False,steel,False,grey
374,555,tudor,False,Standard,Pelagos,4845.0,True,titanium,False,titanium,False,blue
375,557,tudor,False,Standard,Black Bay GMT,4995.0,True,steel,False,steel,False,black
376,558,tudor,False,Standard,Unknown/Other,4100.0,False,steel,False,steel,False,black
377,559,tudor,False,Standard,Pelagos,4200.0,False,titanium,False,carbon,False,blue
378,560,tudor,False,Standard,Black Bay Chrono,9397.0,False,steel,False,steel,False,pink
380,563,tudor,False,Standard,Black Bay Pro,3900.0,False,steel,False,steel,False,black
381,564,tudor,False,Standard,Black Bay Chrono,8500.0,False,carbon,False,carbon,False,white
382,565,tudor,False,Standard,Black Bay 54,5899.0,False,steel,False,steel,False,blue
383,566,tudor,False,Standard,Black Bay Steel,3450.0,True,steel,False,steel,False,black
384,567,tudor,False,Standard,Unknown/Other,3595.0,False,steel,False,steel,False,black
385,569,tudor,False,Standard,Pelagos,4450.0,True,carbon,False,carbon,False,black
386,570,tudor,False,Standard,Black Bay Pro,4845.0,True,steel,False,steel,False,white
387,571,tudor,False,Standard,Pelagos,4549.0,False,titanium,False,carbon,False,blue
388,572,tudor,False,Standard,Black Bay Chrono,10900.0,False,steel,False,steel,False,pink
391,576,tudor,False,Standard,Black Bay 54,6395.0,False,steel,False,steel,False,blue
392,577,tudor,False,Standard,Black Bay Chrono,9295.0,True,steel,False,steel,False,pink
393,578,tudor,False,Standard,Black Bay Chrono,5300.0,False,aluminum,False,steel,False,blue
394,579,tudor,False,Standard,Black Bay Chrono,9799.0,False,steel,False,steel,False,pink
396,582,tudor,False,Standard,Black Bay 54,5499.0,True,steel,False,steel,False,blue
398,584,tudor,False,Standard,Unknown/Other,4450.0,False,steel,False,steel,False,red
399,585,tudor,False,Standard,Black Bay Chrono,9485.0,False,steel,False,steel,False,pink
400,587,tudor,False,Standard,Pelagos,4595.0,False,carbon,False,carbon,False,black
401,588,tudor,False,Standard,Black Bay Chrono,11430.0,False,steel,False,steel,False,turquoise
