,negotiable_price,price,guaranteed_authentic_brand,brand,case_plated,case_material,bezel_plated,bezel_material,bracelet_plated,bracelet_material,clasp_plated,clasp_material,dial,core_model,model_variant,year_of_production,is_year_of_production_estimate,age_in_years_2026,original_box,original_papers,movement,clasp,number_of_jewels
88,False,5697,False,tudor,False,steel,False,steel,False,steel,False,steel,white,Black Bay Chrono,Standard,2025,True,1,1.0,1.0,automatic,fold clasp,41
89,True,4400,False,tudor,False,steel,False,,False,leather,False,,black,Black Bay Chrono,Standard,2024,False,2,1.0,1.0,automatic,,
90,True,6995,False,tudor,False,steel,False,,False,steel,False,,black,Submariner,Standard,1994,False,32,1.0,1.0,automatic,,
91,False,3815,False,tudor,False,ceramic,False,,False,,False,,black,Unknown/Other,Standard,2021,False,5,1.0,1.0,automatic,fold clasp,
92,False,3995,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Unknown/Other,Standard,2023,False,3,1.0,1.0,automatic,fold clasp,25
93,False,3699,False,tudor,False,gold/steel,False,,False,textile,False,steel,black,Black Bay GMT,Standard,2023,False,3,1.0,1.0,automatic,buckle,
94,True,3295,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Ranger,Standard,2024,False,2,1.0,1.0,automatic,fold clasp,27
95,True,7650,False,tudor,False,steel,False,,False,steel,False,,green,Tiger Prince Date,Standard,1997,True,29,1.0,1.0,automatic,,
96,False,2075,False,tudor,False,steel,False,aluminum,False,steel,False,,white,1926,Standard,2023,False,3,1.0,1.0,automatic,fold clasp,
97,True,5300,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Unknown/Other,Standard,2025,True,1,1.0,1.0,automatic,fold clasp,25
98,False,4649,False,tudor,False,steel,False,steel,False,steel,False,steel,red,Unknown/Other,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,26
99,True,3895,False,tudor,False,titanium,False,,False,titanium,False,,black,Pelagos,Standard,2018,False,8,1.0,1.0,automatic,,
100,True,3975,False,tudor,False,silver,False,silver,False,leather,False,silver,grey,Unknown/Other,Standard,2021,False,5,1.0,1.0,automatic,buckle,27
101,True,3290,False,tudor,False,steel,False,aluminum,False,steel,False,steel,black,Black Bay GMT,Standard,2019,False,7,1.0,1.0,automatic,fold clasp,26
102,False,4499,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Black Bay 41,Standard,2024,False,2,1.0,1.0,automatic,fold clasp,25
103,True,2750,False,tudor,False,steel,False,,False,textile,False,,black,Ranger,Standard,2022,True,4,1.0,1.0,automatic,,
104,True,4490,False,tudor,False,steel,False,steel,False,steel,False,steel,white,Black Bay Chrono,Standard,2021,True,5,1.0,1.0,automatic,fold clasp,41
105,False,3500,False,tudor,False,silver,False,aluminum,False,textile,False,silver,grey,Unknown/Other,Standard,2021,False,5,1.0,1.0,automatic,buckle,27
106,False,4500,False,tudor,False,steel,False,steel,False,steel,False,steel,white,Black Bay Pro,Standard,2025,False,1,1.0,1.0,automatic,fold clasp,26
107,False,4250,False,tudor,False,steel,False,steel,False,steel,False,steel,white,Black Bay GMT,Standard,2024,False,2,1.0,1.0,automatic,fold clasp,26
108,False,4275,False,tudor,False,steel,False,,False,steel,False,steel,white,Black Bay GMT,Standard,2023,False,3,1.0,1.0,automatic,fold clasp,
109,False,3499,False,tudor,False,steel,False,aluminum,False,steel,False,steel,black,Black Bay Fifty-Eight,Standard,2023,False,3,1.0,1.0,automatic,fold clasp,25
110,True,3790,False,tudor,False,steel,False,aluminum,False,steel,False,steel,black,Unknown/Other,Standard,2020,True,6,1.0,1.0,automatic,fold clasp,25
111,True,4950,False,tudor,False,bronze,False,bronze,False,textile,False,bronze,blue,Unknown/Other,Standard,2020,True,6,1.0,1.0,automatic,buckle,25
112,True,4750,False,tudor,False,steel,False,steel,False,steel,False,steel,black,Unknown/Other,Standard,2016,False,10,1.0,1.0,automatic,fold clasp,25
113,True,4159,False,tudor,False,steel,False,,False,steel,False,,black,Black Bay Fifty-Eight,Standard,2023,False,3,1.0,1.0,automatic,,
